Year,2016 Loans Billions,2018 Loans Billions
1996/97,46.5,48.8529
1997/98,48.5,50.9541
1998/99,50.3,52.84518
1999/00,53.8,56.52228
2000/01,54.9,57.67794
2001/02,59.2,62.19552
2002/03,68.3,71.75598
2003/04,78.9,82.89234
2004/05,87.3,91.71738
2005/06,92.3,96.97038
2006/07,96.3,101.17278
2007/08,105.1,110.41806
2008/09,107.2,112.62432
2009/10,120.8,126.91248
2010/11,125.6,131.95536
2011/12,122.7,128.90862
2012/13,117.5,123.4455
2013/14,114.3,120.08358
2014/15,108.9,114.41034
2015/16,107.3,112.72938
2016/17,106.5,111.8889
